蒸发量,降雨量,径流量,降雨量_log,径流量_log,蒸发量_std
29.2,45.8,1540.0,3.845883202923601,7.340186835320115,-1.0254273541257448
33.9,53.2,653.2,3.9926809084456005,6.483413115104284,-0.8793141450380058
33.1,12.4,1266.9,2.5952547069568657,7.1451172675339025,-0.9041844784997485
57.0,89.3,2014.0,4.5031374604229395,7.608374474380783,-0.1611832663301821
122.2,114.5,1352.6,4.749270529961848,7.210522988851959,1.865748910801857
103.0,184.1,1319.3,5.220896219579452,7.185614262485156,1.2688609077200295
101.2,287.1,8704.8,5.663307642090483,9.071744749185836,1.2129026574311081
85.3,187.9,11892.1,5.241217774507464,9.383713678999303,0.7186047798789696
88.9,37.6,3836.2,3.653252276470785,8.252498212943792,0.8305212804568126
73.6,44.5,838.3,3.817712325956905,6.732568211088782,0.354876153000981
40.7,161.8,3240.0,5.09252245356844,8.083637203141548,-0.6679163106131918
23.8,112.9,2560.6,4.735320870453137,7.84838734224245,-1.1933021049925085
33.4,195.0,9827.0,5.278114659230517,9.19299073364107,-0.894858103451595
37.0,89.1,6196.0,4.500920164614292,8.731820582962108,-0.7829416028737524
31.4,211.5,10308.0,5.358941988364472,9.240772579096385,-0.9570339371059521
67.4,172.8,6598.0,5.157905212831292,8.794673401383422,0.1621310686724746
84.9,186.4,6725.0,5.2332453698043215,8.813735892300215,0.7061696131480986
75.8,194.4,5638.0,5.275048739608683,8.637462023807181,0.4232695700207738
141.1,242.4,5143.6,5.494706180553427,8.545702899861952,2.4533105388355305
158.7,143.5,2591.8,4.973279507552487,7.860493651827338,3.000457874993872
90.3,122.3,1431.0,4.814620410170298,7.266827347520591,0.8740443640148623
69.8,28.7,1336.9,3.391147045808654,7.198856499479573,0.23674206905770276
53.8,19.8,344.0,3.0349529867072724,5.84354441703136,-0.2606646001771534
34.9,29.6,640.0,3.4210000089583352,6.46302945692067,-0.8482262282108273
30.7,49.2,440.3,3.9160150266976834,6.089724916275501,-0.978795478884977
56.2,29.1,79.0,3.40452517175483,4.382026634673881,-0.18605359979192482
32.3,216.4,6636.5,5.381738974687109,8.800490665550194,-0.9290548119614914
59.6,160.0,7760.0,5.081404364984463,8.95686647085414,-0.08035468257951793
85.5,141.8,6067.3,4.9614450499054845,8.710833778929908,0.7248223632444055
41.8,762.5,30890.0,6.637913124658687,10.33822015832486,-0.6337196021032956
67.4,152.0,12075.4,5.030437921392435,9.399008413829002,0.1621310686724746
89.9,268.2,13530.2,5.595454597770573,9.512753409027958,0.8616091972839911
95.8,30.9,2367.9,3.462606009790799,7.770180991364081,1.045027906564344
60.1,49.6,722.3,3.92395157629342,6.583824073855235,-0.06481072416592867
51.9,36.4,405.0,3.6216707044204863,6.0063531596017325,-0.31973164214879257
36.5,0.1,356.0,0.09531017980432487,5.877735781779639,-0.7984855612873416
20.3,118.7,2255.7,4.784988612563928,7.7216588481778645,-1.3021098138876335
27.2,81.4,2480.0,4.411585436915426,7.816416983691801,-1.0876031877801018
