Epoch,MSE_对数空间,MSE_原始空间
1,11.58291593328127,38523723.236021146
2,2.323871899329995,29290466.025477316
3,0.6930803848743892,17912326.173479244
4,0.4037538365173765,11897427.081710251
5,0.3518673926385285,9540609.636510784
6,0.3424134649938268,8657982.713209875
7,0.3406586230872169,8320672.513512535
8,0.34033216103533803,8189497.415863909
9,0.3402769161966452,8138272.642866224
10,0.34027270685869837,8118398.848861805
11,0.3402765089014466,8110805.612472738
12,0.3402801805836894,8107976.530296151
13,0.3402826295034316,8106963.606126922
14,0.34028408679585753,8106624.357950006
15,0.3402849083865915,8106524.485705792
16,0.3402853572137776,8106503.68471015
17,0.34028559737888825,8106505.466291676
18,0.34028572402542256,8106511.454927288
19,0.34028579009337867,8106516.584043056
20,0.3402858242775052,8106520.0431258585
21,0.340285841852293,8106522.147696634
22,0.3402858508425572,8106523.357291576
23,0.3402858554230531,8106524.028105318
24,0.3402858577492649,8106524.391229162
25,0.3402858589275422,8106524.584433451
26,0.34028585952308993,8106524.685928294
27,0.34028585982357556,8106524.738732941
28,0.3402858599749678,8106524.766000682
29,0.3402858600511521,8106524.779998769
30,0.34028586008945205,8106524.78715137
31,0.34028586010869066,8106524.790792285
32,0.34028586011834805,8106524.792640142
33,0.340285860123193,8106524.793575657
34,0.34028586012562245,8106524.794048262
35,0.34028586012684026,8106524.794286598
36,0.34028586012745055,8106524.794406675
37,0.34028586012775625,8106524.794467058
38,0.34028586012790946,8106524.794497451
39,0.340285860127986,8106524.79451265
40,0.34028586012802436,8106524.794520291
41,0.34028586012804357,8106524.794524094
42,0.3402858601280532,8106524.794526068
43,0.34028586012805806,8106524.794527058
44,0.34028586012806056,8106524.794527541
45,0.34028586012806167,8106524.7945277495
46,0.34028586012806233,8106524.794527891
47,0.3402858601280626,8106524.794527953
48,0.34028586012806283,8106524.794527988
49,0.34028586012806283,8106524.794527995
50,0.3402858601280629,8106524.794527993
51,0.34028586012806294,8106524.794527991
52,0.34028586012806294,8106524.7945279945
53,0.340285860128063,8106524.794528002
54,0.340285860128063,8106524.794528004
55,0.34028586012806306,8106524.794528008
56,0.34028586012806306,8106524.7945280075
57,0.34028586012806306,8106524.7945280075
58,0.34028586012806306,8106524.7945280075
59,0.34028586012806306,8106524.7945280075
60,0.34028586012806306,8106524.7945280075
61,0.34028586012806306,8106524.7945280075
62,0.34028586012806306,8106524.7945280075
63,0.34028586012806306,8106524.7945280075
64,0.34028586012806306,8106524.7945280075
65,0.34028586012806306,8106524.7945280075
66,0.34028586012806306,8106524.7945280075
67,0.34028586012806306,8106524.7945280075
68,0.34028586012806306,8106524.7945280075
69,0.34028586012806306,8106524.7945280075
70,0.34028586012806306,8106524.7945280075
71,0.34028586012806306,8106524.7945280075
72,0.34028586012806306,8106524.7945280075
73,0.34028586012806306,8106524.7945280075
74,0.34028586012806306,8106524.7945280075
75,0.34028586012806306,8106524.7945280075
76,0.34028586012806306,8106524.7945280075
77,0.34028586012806306,8106524.7945280075
78,0.34028586012806306,8106524.7945280075
79,0.34028586012806306,8106524.7945280075
80,0.34028586012806306,8106524.7945280075
81,0.34028586012806306,8106524.7945280075
82,0.34028586012806306,8106524.7945280075
83,0.34028586012806306,8106524.7945280075
84,0.34028586012806306,8106524.7945280075
85,0.34028586012806306,8106524.7945280075
86,0.34028586012806306,8106524.7945280075
87,0.34028586012806306,8106524.7945280075
88,0.34028586012806306,8106524.7945280075
89,0.34028586012806306,8106524.7945280075
90,0.34028586012806306,8106524.7945280075
91,0.34028586012806306,8106524.7945280075
92,0.34028586012806306,8106524.7945280075
93,0.34028586012806306,8106524.7945280075
94,0.34028586012806306,8106524.7945280075
95,0.34028586012806306,8106524.7945280075
96,0.34028586012806306,8106524.7945280075
97,0.34028586012806306,8106524.7945280075
98,0.34028586012806306,8106524.7945280075
99,0.34028586012806306,8106524.7945280075
100,0.34028586012806306,8106524.7945280075
