Epoch,MSE_对数空间,MSE_原始空间
1,11.591787550937635,38538522.61120122
2,2.328577937081626,29353807.109125193
3,0.6957232851212468,17973933.914532516
4,0.40566266683092755,11952413.793280143
5,0.3535080163804647,9595673.853715742
6,0.34395234626688104,8715131.566146236
7,0.34216456365707665,8379508.220389343
8,0.3418319580919533,8249483.712505857
9,0.34177934624041334,8199062.577470798
10,0.3417795268277694,8179742.174811223
11,0.3417871404301038,8172519.696754754
12,0.34179355460825944,8169931.944098274
13,0.3417978038861085,8169072.027733341
14,0.34180038049128775,8168827.601001632
15,0.34180187352226404,8168785.355151592
16,0.34180271514010785,8168798.9967723675
17,0.34180318089303957,8168821.072358069
18,0.34180343530202373,8168838.872305216
19,0.34180357294618285,8168850.802916221
20,0.3418036468842387,8168858.1424862975
21,0.34180368638472264,8168862.443137902
22,0.34180370739845806,8168864.886740898
23,0.3418037185408026,8168866.246618031
24,0.34180372443372936,8168866.992375996
25,0.341803727544042,8168867.397007183
26,0.34180372918304536,8168867.614813081
27,0.34180373004563147,8168867.7313510785
28,0.34180373049913954,8168867.793418363
29,0.34180373073738085,8168867.826357348
30,0.34180373086245536,8168867.843789327
31,0.34180373092808464,8168867.852994689
32,0.3418037309625073,8168867.857847361
33,0.34180373098055644,8168867.860401985
34,0.3418037309900177,8168867.861745518
35,0.341803730994976,8168867.86245131
36,0.3418037309975743,8168867.862821987
37,0.3418037309989355,8168867.863016478
38,0.34180373099964856,8168867.86311844
39,0.3418037310000221,8168867.863171956
40,0.34180373100021777,8168867.863200021
41,0.34180373100032024,8168867.863214758
42,0.3418037310003739,8168867.863222414
43,0.34180373100040196,8168867.863226444
44,0.34180373100041667,8168867.863228583
45,0.3418037310004245,8168867.8632296715
46,0.34180373100042855,8168867.86323023
47,0.34180373100043054,8168867.8632305395
48,0.34180373100043165,8168867.863230702
49,0.3418037310004323,8168867.8632308245
50,0.34180373100043265,8168867.8632309185
51,0.3418037310004329,8168867.863230954
52,0.3418037310004329,8168867.8632309595
53,0.3418037310004329,8168867.863230954
54,0.3418037310004329,8168867.863230957
55,0.3418037310004329,8168867.863230959
56,0.3418037310004329,8168867.863230959
57,0.3418037310004329,8168867.863230959
58,0.3418037310004329,8168867.863230959
59,0.3418037310004329,8168867.863230959
60,0.3418037310004329,8168867.863230959
61,0.3418037310004329,8168867.863230959
62,0.3418037310004329,8168867.863230959
63,0.3418037310004329,8168867.863230959
64,0.3418037310004329,8168867.863230959
65,0.3418037310004329,8168867.863230959
66,0.3418037310004329,8168867.863230959
67,0.3418037310004329,8168867.863230959
68,0.3418037310004329,8168867.863230959
69,0.3418037310004329,8168867.863230959
70,0.3418037310004329,8168867.863230959
71,0.3418037310004329,8168867.863230959
72,0.3418037310004329,8168867.863230959
73,0.3418037310004329,8168867.863230959
74,0.3418037310004329,8168867.863230959
75,0.3418037310004329,8168867.863230959
76,0.3418037310004329,8168867.863230959
77,0.3418037310004329,8168867.863230959
78,0.3418037310004329,8168867.863230959
79,0.3418037310004329,8168867.863230959
80,0.3418037310004329,8168867.863230959
81,0.3418037310004329,8168867.863230959
82,0.3418037310004329,8168867.863230959
83,0.3418037310004329,8168867.863230959
84,0.3418037310004329,8168867.863230959
85,0.3418037310004329,8168867.863230959
86,0.3418037310004329,8168867.863230959
87,0.3418037310004329,8168867.863230959
88,0.3418037310004329,8168867.863230959
89,0.3418037310004329,8168867.863230959
90,0.3418037310004329,8168867.863230959
91,0.3418037310004329,8168867.863230959
92,0.3418037310004329,8168867.863230959
93,0.3418037310004329,8168867.863230959
94,0.3418037310004329,8168867.863230959
95,0.3418037310004329,8168867.863230959
96,0.3418037310004329,8168867.863230959
97,0.3418037310004329,8168867.863230959
98,0.3418037310004329,8168867.863230959
99,0.3418037310004329,8168867.863230959
100,0.3418037310004329,8168867.863230959
