样本索引,实际径流量,预测径流量,残差
0,4126.999999999997,3852.1648190478886,274.83518095210866
1,5637.999999999995,5276.423842719172,361.5761572808233
2,440.29999999999984,1580.178614491626,-1139.8786144916262
3,1900.7000000000003,3182.0242900417534,-1281.324290041753
4,2785.900000000001,3569.8866886148217,-783.9866886148207
5,2508.9999999999995,837.8628961240383,1671.1371038759612
6,5532.100000000004,3732.5105776176733,1799.5894223823307
7,7363.800000000005,4711.288359394093,2652.5116406059115
8,1339.100000000001,1640.0196286789903,-300.9196286789893
9,2174.2000000000003,2558.72855749081,-384.5285574908098
10,4698.699999999999,3982.169598714647,716.5304012853521
11,919.5999999999996,2516.4895487483172,-1596.8895487483178
12,3845.999999999998,3980.1508848997555,-134.15088489975733
13,3513.4999999999995,3096.9365273589124,416.5634726410872
14,2236.4,2398.0613430632507,-161.66134306325057
15,13530.200000000006,6965.436961122816,6564.76303887719
16,11067.40000000001,9141.905631919999,1925.4943680800116
17,1159.8999999999999,2312.7805305853476,-1152.8805305853477
18,19665.000000000007,9242.397564762201,10422.602435237806
19,1766.3999999999994,1637.978392098467,128.4216079015323
20,4283.000000000001,6302.137733431826,-2019.137733431825
21,3678.899999999999,3975.928286066059,-297.02828606606
22,2703.000000000001,3695.8666913347774,-992.8666913347765
23,2015.9999999999993,3954.6656402967637,-1938.6656402967644
24,8704.800000000003,7273.303176342746,1431.4968236572568
25,671.7,840.4722145561633,-168.77221455616325
26,12075.400000000001,4249.4806999617285,7825.919300038273
27,344.00000000000017,655.2955467357032,-311.295546735703
28,2901.1999999999994,1448.9219550541018,1452.2780449458976
29,3076.2999999999984,1756.4023959270735,1319.8976040729249
30,1451.7999999999981,1581.4294484250083,-129.6294484250102
31,17409.60000000003,7511.545887678527,9898.054112321504
32,21521.7,13572.164173993036,7949.535826006964
33,8084.8,5463.444566836965,2621.355433163035
34,610.6999999999998,1182.7887018399754,-572.0887018399756
35,4904.899999999999,3331.5589345038425,1573.3410654961563
36,2365.300000000001,2349.3440709997794,15.955929000221658
37,6262.299999999998,5282.7183596349005,979.5816403650979
38,2009.3999999999999,1965.165159407729,44.23484059227076
39,623.1100000000002,2202.045962532749,-1578.9359625327488
40,1015.0000000000002,2489.634792085237,-1474.634792085237
41,1954.9999999999993,2016.381370605036,-61.381370605036636
42,5240.299999999997,3162.1933378764143,2078.106662123583
43,581.9000000000002,720.626740642583,-138.72674064258274
44,4283.300000000003,3753.333019138586,529.9669808614167
45,1260.0000000000005,2143.1978721343166,-883.1978721343162
46,5143.599999999996,5751.8139780590245,-608.2139780590287
47,554.0,793.9029131597724,-239.90291315977242
48,2338.999999999999,1484.7768139376594,854.2231860623397
49,2591.8000000000006,3392.779864150537,-800.9798641505363
50,1071.0,2517.1956103029643,-1446.1956103029643
51,2727.400000000001,3386.3817398780247,-658.9817398780237
52,927.5000000000003,3193.3061584637458,-2265.8061584637453
53,8782.199999999995,4817.819880828053,3964.380119171942
54,6861.000000000005,4833.9055035834335,2027.094496416571
55,1832.1,1463.3702449814318,368.7297550185681
56,2750.4000000000015,2427.2950294235898,323.1049705764117
57,6598.000000000003,4796.010000607841,1801.9899993921617
58,3704.1000000000017,3436.1979708594304,267.90202914057136
59,3240.0000000000005,4738.399490659673,-1498.3994906596722
60,11987.1,7144.334625771927,4842.765374228074
61,1104.4,2470.1178131748725,-1365.7178131748724
62,6866.799999999998,4915.237966156411,1951.5620338435874
63,3710.600000000003,4035.2068477069965,-324.60684770699345
64,1983.4999999999993,2742.9480622657356,-759.4480622657363
65,639.9999999999999,979.751866528611,-339.7518665286111
66,2480.0000000000005,2546.1981711770486,-66.19817117704815
67,6921.999999999997,3818.0104330117492,3103.989566988248
68,7368.600000000003,6105.35639389441,1263.2436061055932
69,2277.8,4113.655368736412,-1835.855368736412
