样本索引,实际径流量,预测径流量,残差
0,13896.999999999995,8101.205262816468,5795.794737183526
1,2161.7000000000007,1153.5125212611117,1008.187478738889
2,1504.8999999999983,3077.56722378108,-1572.6672237810817
3,838.2999999999998,1328.2410949943078,-489.94109499430795
4,877.3000000000006,198.47757972013798,678.8224202798626
5,2144.1000000000004,3563.1268913932126,-1419.0268913932123
6,431.99999999999994,1287.1412534103206,-855.1412534103206
7,2022.7999999999997,5445.533200642467,-3422.733200642467
8,975.5999999999999,956.1541185073171,19.445881492682815
9,181.40000000000006,634.8008293290604,-453.40082932906034
10,5186.999999999996,3932.99859900174,1254.0014009982565
11,1496.0000000000007,2344.4614288731145,-848.4614288731138
12,5622.999999999997,4471.023442178174,1151.976557821823
13,2518.9,3215.689788433124,-696.7897884331237
14,6380.900000000003,3719.4918001450737,2661.4081998549295
15,620.9999999999999,349.51719811215196,271.4828018878479
16,6156.900000000004,3400.80241219615,2756.0975878038544
17,799.0299999999999,1131.9178028710219,-332.887802871022
18,78.99999999999997,926.810531276466,-847.810531276466
19,1319.3000000000002,4763.302763579541,-3444.0027635795404
20,620.3999999999999,1567.5830452930318,-947.1830452930319
21,811.4999999999999,856.018174451099,-44.51817445109907
22,3272.8,4229.630042082103,-956.8300420821024
23,4729.999999999998,5781.175257544145,-1051.175257544147
24,1030.7000000000003,1664.0818010634373,-633.381801063437
25,920.0,1549.9182990916254,-629.9182990916254
26,5299.2999999999965,5515.136022110204,-215.83602211020752
27,965.9999999999999,3124.452408808261,-2158.452408808261
28,11039.8,7795.484416019156,3244.3155839808433
29,848.0000000000003,2846.2672582779182,-1998.2672582779178
30,3315.4,3075.8942946200928,239.50570537990734
31,2791.899999999999,4519.551920597401,-1727.6519205974014
32,4843.999999999997,2532.630150823205,2311.3698491767923
33,1607.0000000000005,1536.7738451583775,70.22615484162293
34,3195.0000000000005,3426.682859627524,-231.6828596275236
35,5695.999999999996,5722.5154267396865,-26.515426739690156
36,12230.800000000012,8072.162727628038,4158.637272371974
37,722.2999999999997,1506.8527176069204,-784.5527176069206
38,1564.9999999999998,1665.8928092737738,-100.89280927377399
39,1615.9999999999998,2260.7719770860435,-644.7719770860438
40,703.6000000000004,635.7093631161731,67.89063688382726
41,1129.5999999999995,1790.1693362870626,-660.5693362870632
42,688.2000000000006,566.2387544668785,121.96124553312211
43,22498.0,14157.273283544131,8340.726716455869
44,1024.0000000000005,2201.3394154817206,-1177.3394154817202
45,1025.0,2259.220798174458,-1234.2207981744582
46,1901.1999999999991,2660.1887564473423,-758.9887564473431
47,3800.000000000003,1864.4727758657816,1935.5272241342216
48,791.4999999999998,1353.7097375634341,-562.2097375634344
49,6725.000000000003,4985.528565901789,1739.4714340982136
50,2577.2,3732.272486884876,-1155.072486884876
51,1646.0999999999997,2809.074961461302,-1162.9749614613022
52,11892.099999999997,5019.63758498154,6872.462415018456
53,3258.399999999998,3153.358771063709,105.04122893628892
54,1084.4999999999998,2364.8438056972936,-1280.3438056972939
55,6956.999999999996,5254.874714936359,1702.1252850636374
56,623.9999999999998,528.9897715701427,95.01022842985708
57,2894.9999999999995,3084.7850979375453,-189.78509793754574
58,2013.9999999999993,2626.699853974437,-612.6998539744375
59,5032.199999999998,4232.153357790499,800.0466422094987
60,7424.999999999999,6316.5392216803075,1108.4607783196916
61,2092.8,4086.3832044227947,-1993.5832044227946
62,3059.899999999998,2953.491853471041,106.40814652895688
63,1445.2,1584.4787189187405,-139.27871891874042
64,692.3999999999999,550.3180476384646,142.0819523615353
65,1487.9000000000003,3108.0519847761952,-1620.151984776195
